Address,Name Tag,Balance,Txn Count
0xea3a46bd1dbd0620d80037f70d0bf7c7dc5a837c,TAGZ 1,2.60700529 Ether,"1,708"
0xed8204345a0cf4639d2db61a4877128fe5cf7599,TAGZ 2,31.47518589 Ether,661
0x3613ef1125a078ef96ffc898c4ec28d73c5b8c52,Tidex 1,"2,859.62915054 Ether","122,077"
0x0a73573cf2903d2d8305b1ecb9e9730186a312ae,Tidex 2,5.73474172 Ether,"143,694"
0x0068eb681ec52dbd9944517d785727310b494575,Tokocrypto,28.27450759 Ether,244
0xb2cc3cdd53fc9a1aeaf3a68edeba2736238ddc5d,TopBTC,86.22447319 Ether,"26,703"
0x1119aaefb02bf12b84d28a5d8ea48ec3c90ef1db,Trade.io,15.2482482 Ether,"17,546"
0x2f1233ec3a4930fd95874291db7da9e90dfb2f03,Uex,0.01233134 Ether,"21,741"
0x390de26d772d2e2005c6d1d24afc902bae37a4bb,Upbit 1,16.19139767 Ether,"997,932"
0xba826fec90cefdf6706858e5fbafcb27a290fbe0,Upbit 2,314.00727169 Ether,"973,855"
0x5e032243d507c743b061ef021e2ec7fcc6d3ab89,Upbit 3,"309,922.19343643 Ether","1,341,102"
0xb436c96c6de1f50a160ed307317c275424dbe4f2,Vinex,7.10740348 Ether,"1,380"
0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,Yobit.net,"49,268.8349518 Ether","2,026,275"
0xd94c9ff168dc6aebf9b6cc86deff54f3fb0afc33,Yunbi 1,502.07043814 Ether,"440,606"
0x42da8a05cb7ed9a43572b5ba1b8f82a0a6e263dc,Yunbi 2,"1,279.8682171 Ether","250,781"
0x700f6912e5753e91ea3fae877a2374a2db1245d7,Yunbi 3,161.71247043 Ether,"7,958"
0x60d0cc2ae15859f69bf74dadb8ae3bd58434976b,ZB.com,82.96253399 Ether,"1,479,814"
