address,name_tag,ether_balance,txn_count,etherscan_address_dataset_reported,token_name,usd_market_cap,n_holders,is_token,etherscan_token_dataset_reported,cryptoscamdb_reported
0xBa663f63eE6eF36d8778615dB2b90679F605D8B4,Fake_Phishing525,0.0,2.0,True,,,,,False,False
0xf97Bd29b8eE6E246Eb57eEcf5D0E8486366113fB,Fake_Phishing5365,0.0,117.0,True,,,,,False,False
0x2f28755A4f7d85fdd53185cc4c9e5fc182B8F8e0,Fake_Phishing5436,0.0,18.0,True,InvisibIe Friends (INVSBLE),0.0,,True,True,False
0xe44c8Ee0622647D2563a8B2732941772328a751b,Fake_Phishing5437,0.0,79.0,True,Imaginary Ones (Imaginary Ones),0.0,548.0,True,True,False
0x743f577230cb0F914F37eF62CBbE015Cde6DBB10,Fake_Phishing5438,0.0,36.0,True,APPLE (APPLE),0.0,,True,True,False
0x402DB7bC77C259ce3fe639B1d5c6CD94Eb35547c,Fake_Phishing5464,0.0,267.0,True,,,,,False,False
0x4a96e9b57a229d94c0c28950355A72Fa9e70aae3,Fake_Phishing5570,0.0,103.0,True,,,,,False,False
0xefef14C36C1F2de2ca3772Ba9539B6A58cFd562c,Fake_Phishing5670,0.0,62.0,True,,,,,False,False
0x95c8A1F33EdaA7e17Fd3304Fd121F960a21FFf1b,Fake_Phishing5689,0.0,41.0,True,Infura (Infura),0.0,33.0,True,True,False
0xB8d36015dDc669557D424121cE21ba1dcF7a0860,Fake_Phishing5691,0.0,31.0,True,Arbitrum (Arb),0.0,403.0,True,True,False
0xcB3315A42E76b70D2f3e8E595a5d13855c2e14CC,Fake_Phishing5714,0.0,26.0,True,,,,,False,False
0x50228D83eeB60F31F6E58A0BD608228e9A17fe03,Fake_Phishing578,0.0,77.0,True,,,,,False,False
